issue_id,bim360_account_id,bim360_project_id,display_id,title,description,type_id,subtype_id,status,assignee_id,assignee_type,due_date,location_id,location_details,linked_document_urn,owner_id,root_cause_id,root_cause_category_id,response,response_by,response_at,opened_by,opened_at,closed_by,closed_at,created_by,created_at,updated_by,updated_at,start_date,deleted_at,snapshot_urn,published
2ce28242-1495-4162-a2a3-461fbd705138,a4f95080-84fe-4281-8d0a-bd8c885695e0,db792aab-4c7e-45b7-9038-0b50e04384ef,10,Docs Issues: project issue ,project level issue. ,b3b61cb9-2ce6-404d-bdaa-415b8e7f1533,693855fd-332d-4921-8565-fb698b0f6a6f,draft,4ATHNMAG5CXT,user,2018-05-31 00:00:00,,living room,,115925126619778,,,,,,,,,,115925126619778,2018-05-12 17:00:05.51009,,2018-10-22 12:08:24.755,,,,
03d89004-655b-4db1-aff3-fc4d1100ed7f,a4f95080-84fe-4281-8d0a-bd8c885695e0,c5b38f2a-6659-4878-9b9f-dd1755d49ac0,1,test,test,ef76a82f-ebda-4542-83ea-0ee47c3c3670,fe92d2b8-85ce-4f6b-b2b3-86ef8331232b,open,4V4WKQJGGQ7N,user,2018-10-13 00:00:00,,Shanghai,,4V4WKQJGGQ7N,,,,,,,,,,4V4WKQJGGQ7N,2018-10-12 14:02:54.406021,,2018-10-22 14:39:08.279,,,,
293251a6-d750-429a-b0c8-5b42b06fc1a9,a4f95080-84fe-4281-8d0a-bd8c885695e0,c5b38f2a-6659-4878-9b9f-dd1755d49ac0,3,Revit File Upgrade Log,,ef76a82f-ebda-4542-83ea-0ee47c3c3670,fe92d2b8-85ce-4f6b-b2b3-86ef8331232b,open,,,,,,,4V4WKQJGGQ7N,,,,,,,,,,4V4WKQJGGQ7N,2018-10-16 07:50:47.007271,,2018-10-22 14:39:08.294,,,,
661b955b-957b-4812-af50-c1c86b86c57c,a4f95080-84fe-4281-8d0a-bd8c885695e0,c4cad199-6b6f-41b1-a35a-f9b2daf8a48b,4,Test1,sdafesafesf sdfsafdsfdsd ölkoklkj,2d74a5bc-5572-4c2b-b832-d04a66e63f80,3e95cbb4-731d-4eb0-a731-dbc1e85eb52d,open,YKS7KRT3HRTW,user,2019-01-15 00:00:00,,A1,,YPVWQMB7KNNG,b7b6f8ec-5532-4c7b-8823-afe828056476,4cd8807f-a158-429b-97f6-ccef826570b2,,,,YPVWQMB7KNNG,2019-01-14 11:43:00.989712,,,YPVWQMB7KNNG,2019-01-14 11:40:23.983039,YPVWQMB7KNNG,2019-01-14 11:43:56.620658,,,,
3dee9756-96cb-402d-b7cd-0fac4056fda4,a4f95080-84fe-4281-8d0a-bd8c885695e0,db792aab-4c7e-45b7-9038-0b50e04384ef,23,Test commissioning ,Test commissioning,5582e6d7-3b4f-43a6-b3e9-f0e3ee7ba13b,f7804f29-15c8-4389-87fc-a4569b4bb8ce,open,,"",,,,,115925126619778,,,,,,,,,,115925126619778,2018-10-18 19:09:35.987623,,2018-11-07 03:47:33.620512,,,,
5c8d779e-cb40-47cd-9540-3bcac81a1e47,a4f95080-84fe-4281-8d0a-bd8c885695e0,6968a5b5-5d39-43cb-b4c4-5c5a1828f8f0,33,Xiaodong Test Create Field Issue by API (close  ) ,Xiaodong Test Create Field Issue by API,1c9cf28a-d087-4a3a-afbc-11d7c4236b2e,6fb589f9-c0ea-4cd2-bb32-61189a6ed7f8,closed,200902260532621,user,2018-07-01 00:00:00,,kitchen,,200902260532621,a4ccf064-9ec2-4171-9d55-4dda71dacd67,a5cc6ec9-7e42-4413-b90d-1e3dcb6ad61c,,,,,,200902260532621,2018-06-11 17:25:45.136426,200902260532621,2018-06-11 17:22:14.840484,,2018-08-02 11:39:16.459698,,,,
e562be49-d1cb-4929-a2f3-dd9d179bfff0,a4f95080-84fe-4281-8d0a-bd8c885695e0,84ab62e5-d6eb-4691-aa32-6f5632421d92,2,upgrade log,,7c3c4b35-caf1-44b2-ae8a-5708af1c124e,57ba0f7b-0b26-4d26-a80c-dcc565842538,closed,4V4WKQJGGQ7N,user,,,,,4V4WKQJGGQ7N,,,a,4V4WKQJGGQ7N,2018-10-18 07:47:30.349118,,,4V4WKQJGGQ7N,2018-10-18 07:47:30.349147,4V4WKQJGGQ7N,2018-10-16 01:29:57.942872,,2018-10-22 14:39:42.325,,,,
6781ba59-6743-47f5-b547-5610f757877c,a4f95080-84fe-4281-8d0a-bd8c885695e0,84ab62e5-d6eb-4691-aa32-6f5632421d92,7,Revit File Upgrade Log,,7c3c4b35-caf1-44b2-ae8a-5708af1c124e,57ba0f7b-0b26-4d26-a80c-dcc565842538,closed,4V4WKQJGGQ7N,user,,,,,4V4WKQJGGQ7N,,,a,4V4WKQJGGQ7N,2018-10-18 07:46:51.50745,,,4V4WKQJGGQ7N,2018-10-18 07:46:51.507481,4V4WKQJGGQ7N,2018-10-16 15:12:41.416745,,2018-10-22 14:39:42.368,,,,
932d5ec9-89e3-44dd-bd43-8103b6a2429c,a4f95080-84fe-4281-8d0a-bd8c885695e0,84ab62e5-d6eb-4691-aa32-6f5632421d92,37,Revit File Upgrade Log,Log file containing the detail information about the upgrade job,7c3c4b35-caf1-44b2-ae8a-5708af1c124e,57ba0f7b-0b26-4d26-a80c-dcc565842538,closed,4V4WKQJGGQ7N,user,2018-10-20 00:00:00,,,,4V4WKQJGGQ7N,,,a,4V4WKQJGGQ7N,2018-10-20 09:38:15.973634,,,4V4WKQJGGQ7N,2018-10-20 09:38:15.973662,4V4WKQJGGQ7N,2018-10-20 09:25:02.851951,,2018-10-22 14:39:42.602,,,,
f5eeeedf-067e-4e69-add5-384496b76465,a4f95080-84fe-4281-8d0a-bd8c885695e0,6968a5b5-5d39-43cb-b4c4-5c5a1828f8f0,65,dummy,dummy,59473ee7-0ba2-40af-9235-badb99c3f0e9,5bb51ccb-b37f-4723-934c-027946501995,open,7462016,role,2018-02-01 00:00:00,,Room 3; under the window,,H525MUVW4AAB,,,,,,,,,,H525MUVW4AAB,2018-06-27 07:19:05.061233,,2018-10-22 11:49:27.328,,,,
be921afb-6d9f-4e5e-8704-b6d5bfce7eb3,a4f95080-84fe-4281-8d0a-bd8c885695e0,84ab62e5-d6eb-4691-aa32-6f5632421d92,42,Revit File Upgrade Log,Log file containing the detail information about the upgrade job,7c3c4b35-caf1-44b2-ae8a-5708af1c124e,57ba0f7b-0b26-4d26-a80c-dcc565842538,open,115925126619778,user,2018-11-07 00:00:00,,,,4V4WKQJGGQ7N,,,,,,4V4WKQJGGQ7N,2018-11-07 07:44:35.932595,,,4V4WKQJGGQ7N,2018-11-07 07:44:35.948649,4V4WKQJGGQ7N,2018-11-07 07:44:39.781094,,,,
